epoch,train_loss,train_train_top1,eval_loss,eval_top1,eval_top5
0,1.336102592945099,0.3875,1.4027300414429407,27.853881343858973,100.0
1,1.2851167917251587,0.4265625,1.4018193102318401,27.39726033929276,100.0
2,1.185448944568634,0.5390625,1.4005012441443525,27.39726033929276,100.0
3,1.0528359770774842,0.6203125,1.3988971922495594,27.39726033929276,100.0
4,1.0045346081256867,0.6484375,1.396938762164007,27.39726033929276,100.0
5,0.9829298079013824,0.6421875,1.3947668924723586,26.94063933472655,100.0
6,0.9168358623981476,0.6875,1.3924211846094698,26.94063933472655,100.0
7,0.8552187383174896,0.721875,1.3898956215000589,27.39726024348986,100.0
8,0.89182168841362,0.6984375,1.387319027561031,28.310502274395667,100.0
9,0.9287173509597778,0.703125,1.384654684153866,28.310502274395667,100.0
10,0.9024192214012146,0.6890625,1.3820059974443968,29.223744283528088,100.0
11,0.8674148440361023,0.7046875,1.3793372726875897,30.13698629266051,100.0
12,0.8820374369621277,0.734375,1.376614916270182,31.050228301792927,100.0
13,0.947326409816742,0.7046875,1.3738818130536712,30.59360729722672,100.0
14,0.9232225537300109,0.703125,1.3710600665715187,31.50684944570881,100.0
15,0.831340891122818,0.73125,1.368335616643026,32.42009145484123,100.0
16,0.885749751329422,0.721875,1.365561597967801,32.42009145484123,100.0
17,0.8233358025550842,0.7796875,1.3627739192143966,33.33333346397365,100.0
18,0.8936968624591828,0.6984375,1.3599576759556113,34.24657547310607,100.0
19,0.9650021135807038,0.7234375,1.3571498628076353,34.24657547310607,100.0
20,0.913608330488205,0.746875,1.3543704688276874,34.24657547310607,100.0
21,0.8583578646183014,0.7296875,1.3515121631970688,33.78995446853986,100.0
22,0.8230777025222779,0.7703125,1.3487089426005812,33.78995446853986,100.0
23,0.8167709052562714,0.746875,1.345845299224331,34.246575377303174,100.0
24,0.8810028553009033,0.728125,1.34286050328381,35.159817290632695,100.0
25,0.7812974870204925,0.771875,1.3398959914298907,36.52968030433132,100.0
26,0.8366479396820068,0.7671875,1.3368271828786422,38.356164322596165,100.0
27,0.8232725501060486,0.753125,1.333814130526155,38.81278532716237,100.0
28,0.8657638728618622,0.71875,1.3308087053908606,38.81278532716237,100.0
29,0.7942050457000732,0.7734375,1.3277508913109837,38.81278532716237,100.0
30,0.802886140346527,0.775,1.324658347047083,39.269406235925686,100.0
31,0.8187925696372986,0.7515625,1.32154475281772,39.269406235925686,100.0
32,0.809204739332199,0.7953125,1.3183927519680703,39.269406235925686,100.0
33,0.7396946728229523,0.8109375,1.315228484536959,39.269406235925686,100.0
34,0.8185135960578919,0.790625,1.3120706707375234,40.18264838440778,100.0
35,0.8098985552787781,0.7859375,1.3088774653874575,41.09589053288987,100.0
36,0.7689857065677643,0.815625,1.305740410878778,43.378995695070586,100.0
37,0.7524246573448181,0.81875,1.302607739897079,43.378995695070586,100.0
38,0.8377465069293976,0.7640625,1.2994490997976365,45.20547971333543,100.0
39,0.8185055196285248,0.7796875,1.2963090688670607,45.20547971333543,100.0
40,0.6943101167678833,0.821875,1.2931207674279062,45.66210071790164,100.0
41,0.7822505593299866,0.8046875,1.2898530132694332,45.66210071790164,100.0
42,0.7427901506423951,0.8203125,1.2865896159655428,46.118721722467846,100.0
43,0.7717174470424653,0.7921875,1.2833329743990616,46.57534239607859,100.0
44,0.9290073275566101,0.703125,1.280043575317348,47.48858440521101,100.0
45,0.7966476321220398,0.7859375,1.2767420903732787,47.48858440521101,100.0
46,0.8443595051765442,0.7796875,1.2734666093843712,47.03196373160027,100.0
47,0.8181022584438324,0.7796875,1.2701173541752715,47.48858473616648,100.0
48,0.7313475131988525,0.81875,1.2668234626996462,47.94520574073269,100.0
